nconst,primaryName
nm0001979,Tom Burlinson
nm0001982,Sebastian Cabot
nm0001983,Rory Calhoun
nm0001986,Truman Capote
nm0001991,Leo G. Carroll
nm0001993,Vincent Cassel
nm0001995,George Chakiris
nm0001999,Maury Chaykin
nm0002000,Leslie Cheung
nm0002001,Maurice Chevalier
nm0002002,Shin'ichi Chiba
nm0002006,Thomas Haden Church
nm0002008,Eric Clapton
nm0002010,Christian Clavier
nm0002011,Lee J. Cobb
nm0002012,Randall 'Tex' Cobb
nm0002013,Charles Coburn
nm0002014,Iron Eyes Cody
nm0002015,Phil Collins
nm0002016,William Conrad
nm0002017,Richard Conte
nm0002018,Tom Conti
nm0002019,Kevin Corcoran
nm0002021,Noël Coward
nm0002023,Matt Craven
