tconst,nconst
tt0075968,nm0000631
tt0076009,nm0000958
tt0076009,nm0657853
tt0076054,nm0625379
tt0076070,nm0000142
tt0076085,nm0778633
tt0076095,nm0006889
tt0076141,nm0000316
tt0076162,nm0541244
tt0076221,nm0000416
tt0076257,nm0000484
tt0076276,nm0797672
tt0076363,nm0522028
tt0076363,nm0718627
tt0076363,nm0789313
tt0076451,nm0000217
tt0076504,nm0027183
tt0076538,nm0149548
tt0076538,nm0089940
tt0076578,nm1000159
tt0076578,nm0278447
tt0076590,nm0000343
tt0076618,nm0522028
tt0076618,nm0718627
tt0076618,nm0828245
tt0076666,nm0000824
tt0076723,nm0001351
tt0076729,nm0624102
tt0076734,nm0000682
tt0076740,nm0001243
tt0076752,nm0318150
tt0076759,nm0000184
tt0076786,nm0000783
tt0076929,nm0000835
tt0077269,nm0769874
tt0077294,nm0001382
tt0077355,nm0000341
tt0077362,nm0000797
tt0077369,nm0001603
tt0077394,nm0852279
tt0077394,nm0388198
tt0077402,nm0001681
tt0077405,nm0000517
tt0077413,nm0347086
tt0077416,nm0001047
tt0077474,nm0001353
tt0077523,nm0267309
tt0077572,nm0357891
tt0077578,nm0383359
tt0077588,nm0000361
tt0077594,nm0167195
tt0077594,nm0000045
tt0077631,nm0459170
tt0077651,nm0000118
tt0077663,nm0000886
tt0077663,nm0377750
tt0077681,nm0000127
tt0077711,nm0000005
tt0077713,nm0953392
tt0077742,nm0000095
tt0077745,nm0442241
tt0077766,nm0844358
tt0077838,nm0000217
tt0077869,nm0000835
tt0077914,nm0001681
tt0077928,nm0000570
tt0077975,nm0000484
tt0078087,nm0001102
tt0078163,nm0001175
tt0078243,nm0514906
tt0078252,nm0950759
tt0078346,nm0001149
tt0078446,nm0004693
tt0078446,nm0001045
tt0078480,nm0742034
tt0078480,nm0399524
tt0078492,nm0572132
tt0078504,nm0001486
tt0078718,nm0422484
tt0078721,nm0001175
tt0078723,nm0000229
tt0078748,nm0000631
tt0078754,nm0002080
tt0078767,nm0742341
tt0078788,nm0000338
tt0078841,nm0000797
tt0078869,nm0625379
tt0078872,nm0050597
tt0078875,nm0772522
tt0078902,nm0946811
tt0078908,nm0000343
tt0078935,nm0219959
tt0078966,nm0108745
tt0079095,nm0001202
tt0079116,nm0796923
tt0079240,nm0000341
tt0079261,nm0001232
tt0079367,nm0005348
tt0079417,nm0000914
tt0079470,nm0001402
tt0079501,nm0004306
tt0079522,nm0000095
tt0079540,nm0718645
tt0079574,nm0318150
tt0079579,nm0579828
tt0079588,nm0292419
tt0079638,nm0728688
tt0079641,nm0001348
tt0079714,nm0181741
tt0079766,nm0734466
tt0079817,nm0000230
tt0079833,nm0594503
tt0079871,nm0164639
tt0079944,nm0001789
tt0079945,nm0936404
tt0080009,nm0000591
tt0080025,nm0583292
tt0080057,nm0002086
tt0080117,nm0442241
tt0080120,nm0001353
tt0080179,nm0950759
tt0080310,nm0000915
tt0080319,nm0383359
tt0080339,nm0000720
tt0080339,nm0001878
tt0080339,nm0958387
tt0080354,nm0853546
tt0080360,nm0001692
tt0080365,nm0001707
tt0080377,nm0887174
tt0080388,nm0001501
tt0080391,nm0207357
tt0080437,nm0002087
tt0080453,nm0459170
tt0080455,nm0000484
tt0080472,nm0000142
tt0080474,nm0742341
tt0080487,nm0000601
